person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
63,66020,OTHER,31.7,DEBTCONSOLIDATION,B,6057,10.68,0.09,N,4,0
35,186369,MORTGAGE,9.0,EDUCATION,B,2100,5.92,0.01,N,21,0
24,129384,OTHER,35.4,HOMEIMPROVEMENT,B,25664,14.89,0.2,Y,6,0
20,37941,OTHER,8.8,DEBTCONSOLIDATION,E,30944,6.0,0.82,Y,29,1
28,131803,MORTGAGE,38.0,VENTURE,E,33581,13.53,0.25,N,30,1
50,127983,MORTGAGE,30.1,DEBTCONSOLIDATION,C,34663,14.69,0.27,Y,10,0
65,84901,OWN,10.9,MEDICAL,E,5780,7.77,0.07,Y,14,0
65,66086,RENT,16.6,MEDICAL,E,31034,13.32,0.47,Y,28,1
57,192327,RENT,34.3,HOMEIMPROVEMENT,D,31759,5.12,0.17,N,11,0
46,151091,OWN,19.5,MEDICAL,D,32327,5.58,0.21,N,23,0
45,199839,OWN,33.6,EDUCATION,E,2267,23.14,0.01,Y,4,0
28,131031,OWN,2.0,VENTURE,C,14371,14.09,0.11,N,26,0
37,120510,MORTGAGE,33.4,VENTURE,A,3913,25.0,0.03,N,9,0
61,20553,RENT,38.0,EDUCATION,G,1835,17.43,0.09,Y,6,1
27,157841,OWN,18.6,MEDICAL,G,24675,8.36,0.16,Y,26,0
39,38337,RENT,37.2,HOMEIMPROVEMENT,F,25096,12.93,0.65,Y,4,1
60,73661,RENT,27.9,MEDICAL,G,8433,20.92,0.11,Y,13,0
62,107142,RENT,20.2,MEDICAL,A,28028,21.45,0.26,Y,15,0
60,130517,OWN,17.4,DEBTCONSOLIDATION,E,18200,17.32,0.14,N,16,0
57,80358,MORTGAGE,34.1,PERSONAL,C,30043,9.88,0.37,N,20,0
44,98184,RENT,19.8,MEDICAL,B,32452,9.24,0.33,N,12,0
58,193811,MORTGAGE,22.2,HOMEIMPROVEMENT,B,6110,9.83,0.03,N,17,0
35,191039,OTHER,25.8,VENTURE,D,1630,6.86,0.01,Y,14,0
39,184053,MORTGAGE,18.9,HOMEIMPROVEMENT,C,28385,24.93,0.15,N,13,0
37,90379,MORTGAGE,9.2,DEBTCONSOLIDATION,B,21179,7.39,0.23,Y,8,0
50,82482,MORTGAGE,39.2,EDUCATION,C,15408,12.22,0.19,N,2,0
28,81909,RENT,39.0,HOMEIMPROVEMENT,C,8775,17.76,0.11,N,5,0
56,84537,OTHER,19.1,MEDICAL,B,3867,10.05,0.05,N,5,0
45,138908,RENT,23.1,DEBTCONSOLIDATION,A,10443,7.98,0.08,N,4,0
27,156295,OTHER,24.3,HOMEIMPROVEMENT,B,34747,12.61,0.22,N,11,0
47,90053,RENT,24.4,DEBTCONSOLIDATION,A,14117,17.51,0.16,N,23,1
35,55564,RENT,6.3,VENTURE,D,31296,10.83,0.56,Y,11,0
64,129021,RENT,27.5,MEDICAL,G,13464,13.5,0.1,Y,22,1
37,47286,RENT,2.4,MEDICAL,E,19414,13.78,0.41,N,24,1
45,81367,OTHER,17.5,HOMEIMPROVEMENT,A,28813,19.69,0.35,N,2,1
63,160784,RENT,40.0,DEBTCONSOLIDATION,G,18162,16.52,0.11,Y,17,0
48,82917,OWN,39.9,VENTURE,F,32725,24.38,0.39,N,13,1
40,185671,RENT,34.3,MEDICAL,D,32971,10.76,0.18,N,28,0
22,129229,RENT,12.6,MEDICAL,A,26988,22.3,0.21,Y,23,0
49,118330,RENT,7.5,MEDICAL,E,33169,17.51,0.28,Y,8,1
28,85505,OTHER,35.2,VENTURE,A,2391,24.46,0.03,Y,24,1
55,13584,OTHER,3.7,PERSONAL,D,8198,17.95,0.6,Y,17,0
38,143397,MORTGAGE,16.6,VENTURE,D,16473,14.14,0.11,Y,14,1
58,143232,OWN,34.6,MEDICAL,G,27693,11.8,0.19,N,28,1
39,163862,OTHER,34.6,VENTURE,E,32241,11.9,0.2,N,16,0
32,192845,OWN,22.9,EDUCATION,G,27420,5.87,0.14,N,24,0
44,111208,OWN,19.8,PERSONAL,B,33418,24.31,0.3,N,29,0
48,36138,OTHER,0.6,EDUCATION,D,10616,6.5,0.29,N,12,0
45,180350,RENT,34.1,DEBTCONSOLIDATION,G,25404,24.08,0.14,N,29,0
59,27936,OWN,25.2,MEDICAL,B,6423,13.68,0.23,Y,26,0
26,126307,OWN,27.8,PERSONAL,A,21758,20.92,0.17,N,13,0
29,74014,OTHER,22.6,EDUCATION,B,11973,6.58,0.16,N,21,0
51,162871,OWN,9.3,DEBTCONSOLIDATION,C,30618,10.11,0.19,Y,30,0
38,187631,OWN,3.0,MEDICAL,E,20105,17.78,0.11,N,24,1
39,62223,OTHER,34.1,PERSONAL,B,25493,16.44,0.41,N,24,1
62,113758,MORTGAGE,0.3,DEBTCONSOLIDATION,G,3714,23.21,0.03,N,28,0
38,70324,MORTGAGE,8.8,EDUCATION,E,16925,18.56,0.24,Y,22,1
60,179434,RENT,12.4,VENTURE,A,24411,19.65,0.14,Y,11,0
46,56042,OWN,5.3,HOMEIMPROVEMENT,C,33385,23.27,0.6,Y,10,0
50,87369,MORTGAGE,32.2,VENTURE,A,9724,20.08,0.11,Y,29,0
63,114179,MORTGAGE,3.6,VENTURE,A,17831,15.73,0.16,N,13,0
63,78724,OTHER,32.9,MEDICAL,A,15823,14.43,0.2,N,21,0
24,176567,OTHER,36.4,MEDICAL,F,27258,7.33,0.15,Y,3,1
51,40440,RENT,9.4,HOMEIMPROVEMENT,B,25970,14.07,0.64,N,20,0
29,118759,RENT,33.3,HOMEIMPROVEMENT,D,18833,5.65,0.16,N,8,0
35,105075,RENT,39.2,MEDICAL,E,24006,6.21,0.23,N,8,0
49,34031,OWN,25.7,HOMEIMPROVEMENT,A,3814,20.74,0.11,Y,6,0
33,27985,OWN,23.5,EDUCATION,C,10170,20.77,0.36,Y,10,0
29,44076,MORTGAGE,31.9,PERSONAL,F,2189,7.64,0.05,N,27,0
57,94874,RENT,7.0,PERSONAL,B,28088,15.52,0.3,Y,17,0
43,144542,RENT,18.1,EDUCATION,E,3341,19.54,0.02,N,16,0
21,25945,OTHER,33.9,VENTURE,F,7575,14.81,0.29,N,4,0
40,169461,OWN,2.6,MEDICAL,E,21811,12.62,0.13,N,16,0
47,35999,RENT,34.1,DEBTCONSOLIDATION,G,14591,13.6,0.41,Y,15,1
49,114524,OTHER,29.2,MEDICAL,D,20981,18.3,0.18,N,6,0
50,27598,RENT,33.3,PERSONAL,D,6828,19.89,0.25,N,27,1
23,163738,MORTGAGE,26.8,VENTURE,C,28217,22.36,0.17,Y,11,0
42,37158,OWN,6.2,VENTURE,B,7592,12.0,0.2,N,5,0
56,69286,OTHER,33.8,HOMEIMPROVEMENT,E,2220,17.18,0.03,N,2,1
64,90998,MORTGAGE,14.0,EDUCATION,G,9888,16.33,0.11,N,4,1
60,18036,RENT,29.8,EDUCATION,D,28014,14.07,1.55,Y,13,1
40,158791,RENT,35.3,EDUCATION,B,3761,18.48,0.02,N,16,0
51,169141,OTHER,16.6,EDUCATION,G,34077,7.28,0.2,N,5,0
63,165486,OTHER,21.1,MEDICAL,A,14951,12.91,0.09,Y,2,0
33,45975,MORTGAGE,11.6,PERSONAL,A,33096,19.94,0.72,Y,6,1
65,70322,MORTGAGE,2.9,DEBTCONSOLIDATION,A,29088,5.37,0.41,Y,29,1
47,160313,OTHER,28.4,VENTURE,C,8048,13.1,0.05,N,7,0
59,130611,MORTGAGE,3.5,PERSONAL,B,29052,16.78,0.22,Y,14,0
41,68083,MORTGAGE,31.2,PERSONAL,E,7972,15.61,0.12,Y,30,0
42,179199,OWN,9.5,EDUCATION,C,13428,8.47,0.07,Y,26,0
24,56437,OTHER,18.6,HOMEIMPROVEMENT,G,29919,18.62,0.53,N,29,0
40,49572,OTHER,2.7,VENTURE,F,20345,20.93,0.41,Y,13,1
39,131043,OTHER,1.5,MEDICAL,G,19313,6.53,0.15,Y,21,0
44,131297,RENT,18.0,HOMEIMPROVEMENT,F,12836,11.43,0.1,N,18,1
23,128101,RENT,32.4,MEDICAL,F,6026,15.09,0.05,Y,3,1
48,125191,OWN,14.6,MEDICAL,D,27289,20.49,0.22,Y,27,0
41,27278,MORTGAGE,3.8,DEBTCONSOLIDATION,D,19121,10.04,0.7,Y,12,1
62,47074,MORTGAGE,12.4,DEBTCONSOLIDATION,F,26187,7.58,0.56,Y,11,1
61,96108,OWN,26.8,DEBTCONSOLIDATION,F,34997,6.87,0.36,N,18,1
43,90967,OWN,38.0,MEDICAL,G,32368,8.84,0.36,Y,6,1
26,143087,RENT,26.5,HOMEIMPROVEMENT,B,25188,8.09,0.18,Y,28,0
59,53395,OTHER,1.7,MEDICAL,F,16066,24.39,0.3,N,26,0
48,71342,OWN,12.4,VENTURE,G,13215,12.36,0.19,N,16,0
44,141833,OTHER,38.7,EDUCATION,G,9570,22.46,0.07,Y,22,1
43,155369,RENT,28.5,HOMEIMPROVEMENT,G,8670,10.7,0.06,Y,10,0
52,48626,OTHER,3.7,EDUCATION,G,30065,22.69,0.62,Y,15,1
52,108031,OWN,15.4,PERSONAL,C,15215,5.56,0.14,Y,28,0
41,48285,OWN,1.5,VENTURE,F,9595,20.18,0.2,N,16,0
25,14981,MORTGAGE,8.6,EDUCATION,E,28238,7.22,1.88,N,9,1
23,72505,OTHER,25.6,HOMEIMPROVEMENT,D,4616,7.22,0.06,N,21,0
60,145102,OWN,28.7,MEDICAL,D,602,17.3,0.0,Y,20,1
62,185168,RENT,20.9,MEDICAL,A,34975,15.88,0.19,Y,14,0
22,176637,OTHER,39.2,MEDICAL,F,1564,12.14,0.01,Y,13,1
62,174693,RENT,30.9,DEBTCONSOLIDATION,G,22291,7.67,0.13,N,19,0
61,55898,OTHER,39.2,VENTURE,F,12445,21.23,0.22,Y,24,0
49,19695,MORTGAGE,8.1,EDUCATION,A,21182,23.67,1.08,N,28,0
36,19599,OWN,11.4,PERSONAL,G,22253,10.46,1.14,N,15,0
48,111356,MORTGAGE,38.9,VENTURE,F,33105,12.35,0.3,N,27,1
47,30690,OTHER,24.1,EDUCATION,E,19752,11.42,0.64,Y,12,0
39,126894,OTHER,6.7,VENTURE,C,29803,5.85,0.23,N,21,0
37,177633,RENT,3.0,DEBTCONSOLIDATION,D,24309,15.26,0.14,Y,2,1
58,187756,OTHER,1.4,PERSONAL,B,24507,12.24,0.13,Y,21,1
48,107246,MORTGAGE,17.8,PERSONAL,E,9523,15.59,0.09,N,12,0
35,39739,RENT,29.4,VENTURE,E,25861,23.27,0.65,Y,10,0
65,126987,OWN,39.9,MEDICAL,F,32691,9.0,0.26,Y,29,1
31,197005,OTHER,39.9,DEBTCONSOLIDATION,G,21444,18.36,0.11,Y,19,0
39,51289,OWN,31.7,HOMEIMPROVEMENT,B,8453,24.7,0.16,Y,9,0
21,104606,MORTGAGE,18.7,HOMEIMPROVEMENT,B,6150,6.31,0.06,N,24,0
53,117687,OTHER,32.9,PERSONAL,B,21276,17.85,0.18,N,16,0
42,43642,OWN,30.7,EDUCATION,D,33455,23.21,0.77,Y,28,1
29,89724,OWN,6.5,DEBTCONSOLIDATION,B,23176,23.95,0.26,N,29,1
32,176476,MORTGAGE,5.0,MEDICAL,E,6622,15.05,0.04,Y,20,0
29,54879,MORTGAGE,33.7,HOMEIMPROVEMENT,A,2359,6.62,0.04,N,22,0
56,119205,RENT,19.9,DEBTCONSOLIDATION,E,19483,17.84,0.16,N,17,1
63,116454,MORTGAGE,18.1,DEBTCONSOLIDATION,A,10859,13.79,0.09,N,16,0
58,47661,MORTGAGE,34.5,MEDICAL,F,23134,24.51,0.49,Y,26,1
55,37835,MORTGAGE,9.7,PERSONAL,C,29964,9.96,0.79,Y,3,1
44,171317,OTHER,9.9,EDUCATION,G,21958,23.68,0.13,N,8,0
51,144932,OTHER,20.0,MEDICAL,D,2018,6.8,0.01,N,18,0
35,66398,MORTGAGE,1.9,MEDICAL,D,31340,10.71,0.47,Y,29,1
28,79329,MORTGAGE,30.6,MEDICAL,A,26752,6.02,0.34,Y,13,0
24,111279,OTHER,30.6,MEDICAL,G,8286,7.57,0.07,Y,14,1
41,156232,MORTGAGE,30.2,EDUCATION,E,33865,13.03,0.22,Y,3,1
65,97304,OTHER,20.8,EDUCATION,E,34284,7.8,0.35,N,7,1
59,88442,MORTGAGE,20.3,HOMEIMPROVEMENT,E,32602,19.17,0.37,N,17,0
43,96832,RENT,39.2,HOMEIMPROVEMENT,C,2246,16.94,0.02,N,22,0
57,161423,OWN,28.9,HOMEIMPROVEMENT,D,11674,15.48,0.07,N,6,0
35,18276,RENT,7.6,VENTURE,C,27945,8.03,1.53,Y,15,0
59,133628,RENT,28.2,HOMEIMPROVEMENT,B,21802,24.96,0.16,N,18,0
31,130498,MORTGAGE,21.9,DEBTCONSOLIDATION,G,17825,17.2,0.14,Y,9,1
39,68947,MORTGAGE,30.8,DEBTCONSOLIDATION,B,32547,11.34,0.47,N,19,0
37,85442,RENT,22.9,HOMEIMPROVEMENT,D,26356,21.37,0.31,Y,11,1
65,30717,MORTGAGE,37.0,DEBTCONSOLIDATION,C,31896,9.28,1.04,N,19,0
28,38633,OWN,9.7,DEBTCONSOLIDATION,E,15289,17.76,0.4,Y,5,1
65,133837,RENT,27.2,EDUCATION,A,10850,13.14,0.08,N,17,0
38,94192,MORTGAGE,25.8,PERSONAL,F,15718,15.7,0.17,Y,7,1
31,19526,OTHER,31.5,EDUCATION,F,19470,22.53,1.0,Y,11,1
26,97829,MORTGAGE,18.2,DEBTCONSOLIDATION,E,34861,14.88,0.36,Y,29,1
37,60544,RENT,13.2,DEBTCONSOLIDATION,D,17360,19.37,0.29,Y,25,1
38,158840,OWN,7.0,DEBTCONSOLIDATION,D,28529,15.31,0.18,Y,14,0
31,46860,OTHER,12.9,EDUCATION,A,17590,12.67,0.38,N,26,0
41,89153,RENT,10.5,MEDICAL,F,15986,6.24,0.18,Y,16,1
45,189850,MORTGAGE,27.6,DEBTCONSOLIDATION,C,24587,17.29,0.13,Y,6,0
49,168790,MORTGAGE,16.6,HOMEIMPROVEMENT,D,14813,20.24,0.09,Y,18,1
65,104839,RENT,36.7,PERSONAL,A,33627,9.04,0.32,Y,7,1
53,125825,RENT,27.2,DEBTCONSOLIDATION,E,32535,6.82,0.26,N,27,1
28,144544,OTHER,18.3,PERSONAL,E,30802,18.46,0.21,N,25,1
36,10790,OWN,23.1,PERSONAL,D,23079,19.01,2.14,Y,30,1
50,18319,MORTGAGE,16.4,EDUCATION,G,28048,12.49,1.53,N,16,0
44,108473,RENT,27.3,DEBTCONSOLIDATION,G,9215,18.07,0.08,N,5,1
54,113037,OWN,29.1,EDUCATION,G,727,20.12,0.01,N,16,0
54,121182,OTHER,32.9,EDUCATION,D,23185,8.1,0.19,Y,30,0
27,18445,OTHER,24.6,PERSONAL,B,14005,6.35,0.76,Y,16,0
65,22760,OWN,29.6,VENTURE,D,15857,15.8,0.7,Y,6,1
38,71384,MORTGAGE,23.1,DEBTCONSOLIDATION,G,21515,9.74,0.3,Y,23,0
46,88774,MORTGAGE,2.4,HOMEIMPROVEMENT,F,11977,17.52,0.13,N,19,0
42,178641,OTHER,31.4,MEDICAL,F,27784,13.17,0.16,N,14,1
54,134130,OWN,34.0,MEDICAL,G,9960,21.12,0.07,Y,19,1
46,156089,OWN,15.5,MEDICAL,B,22144,17.93,0.14,N,29,0
54,199945,OWN,2.1,VENTURE,F,3091,22.47,0.02,Y,27,0
62,156499,OWN,19.2,MEDICAL,C,1504,9.24,0.01,Y,25,1
50,73594,OWN,15.9,EDUCATION,E,21577,20.51,0.29,N,16,0
42,90851,MORTGAGE,14.4,VENTURE,D,6962,21.06,0.08,N,26,0
33,107178,MORTGAGE,16.6,HOMEIMPROVEMENT,G,15001,19.83,0.14,Y,10,0
57,161818,OTHER,11.8,EDUCATION,C,15574,12.6,0.1,Y,17,0
63,98490,MORTGAGE,30.5,VENTURE,F,32651,14.22,0.33,N,7,1
54,138009,OWN,36.7,HOMEIMPROVEMENT,F,4349,15.48,0.03,Y,28,0
20,118106,OWN,33.7,EDUCATION,A,10397,5.18,0.09,N,13,1
60,184785,OTHER,26.4,PERSONAL,A,27457,5.24,0.15,N,19,0
21,141652,OTHER,32.2,EDUCATION,A,6812,15.49,0.05,Y,8,0
36,102914,MORTGAGE,31.8,PERSONAL,C,27109,14.18,0.26,Y,24,0
63,31133,RENT,3.7,VENTURE,D,31695,6.12,1.02,Y,24,1
51,123746,MORTGAGE,22.6,PERSONAL,E,3288,9.6,0.03,N,10,1
24,189418,MORTGAGE,36.0,HOMEIMPROVEMENT,F,2656,8.59,0.01,N,2,0
57,47798,OTHER,37.2,MEDICAL,B,16259,16.33,0.34,N,23,0
41,110622,OWN,31.6,DEBTCONSOLIDATION,F,5639,15.02,0.05,N,3,1
34,29927,MORTGAGE,24.2,HOMEIMPROVEMENT,E,26498,24.38,0.89,N,2,0
48,138608,OWN,14.2,VENTURE,D,12672,18.59,0.09,N,4,0
38,74605,RENT,3.3,EDUCATION,D,10610,19.79,0.14,N,13,1
20,90810,OTHER,14.4,MEDICAL,A,9183,6.75,0.1,N,16,0
52,116966,RENT,1.1,MEDICAL,E,6599,16.94,0.06,N,29,1
38,118477,OTHER,31.2,DEBTCONSOLIDATION,E,16408,16.44,0.14,Y,23,1
28,80495,MORTGAGE,10.7,EDUCATION,A,11458,13.69,0.14,N,11,0
24,104666,MORTGAGE,37.8,DEBTCONSOLIDATION,F,32992,16.88,0.32,Y,16,1
39,11774,OTHER,13.3,HOMEIMPROVEMENT,D,22096,13.8,1.88,N,28,0
61,165816,OWN,12.0,HOMEIMPROVEMENT,F,13663,14.58,0.08,Y,14,0
38,192179,OTHER,38.7,EDUCATION,C,25145,10.61,0.13,N,13,0
56,62376,OWN,27.3,HOMEIMPROVEMENT,A,30752,23.86,0.49,Y,16,0
64,28129,OTHER,26.9,EDUCATION,F,20346,9.84,0.72,Y,24,1
44,29389,OTHER,39.6,VENTURE,E,26767,15.69,0.91,N,19,1
43,193929,RENT,4.4,EDUCATION,F,23765,8.33,0.12,Y,20,0
63,179539,OTHER,38.7,MEDICAL,G,28710,7.12,0.16,Y,10,1
53,156274,OWN,17.8,VENTURE,D,33298,8.01,0.21,Y,17,1
46,32506,RENT,33.3,DEBTCONSOLIDATION,B,23328,11.24,0.72,N,27,0
50,101304,OTHER,3.9,DEBTCONSOLIDATION,F,30151,11.38,0.3,N,3,0
27,15920,MORTGAGE,25.9,DEBTCONSOLIDATION,G,11271,23.6,0.71,Y,18,1
30,96766,OTHER,38.3,EDUCATION,G,27045,17.6,0.28,Y,22,0
45,17652,OWN,18.0,VENTURE,D,791,19.09,0.04,Y,10,0
24,161348,RENT,32.0,HOMEIMPROVEMENT,B,24472,11.52,0.15,N,5,0
51,148337,MORTGAGE,23.9,HOMEIMPROVEMENT,D,7986,11.96,0.05,N,21,1
63,195070,MORTGAGE,36.7,HOMEIMPROVEMENT,A,9278,11.26,0.05,Y,11,1
43,191780,OWN,20.4,VENTURE,E,9535,16.5,0.05,N,7,0
54,191779,OWN,22.2,VENTURE,C,9694,8.74,0.05,N,21,0
42,12512,OTHER,5.5,VENTURE,E,33624,18.06,2.69,N,23,1
65,126353,OTHER,6.7,HOMEIMPROVEMENT,A,14952,10.84,0.12,N,9,0
30,129884,OTHER,22.0,PERSONAL,E,7984,10.36,0.06,N,19,0
22,198476,OTHER,21.9,VENTURE,A,16722,10.95,0.08,Y,16,1
25,125099,RENT,31.0,EDUCATION,B,23478,22.22,0.19,N,7,0
33,64248,RENT,22.8,HOMEIMPROVEMENT,C,11534,11.47,0.18,N,11,0
52,188074,RENT,5.4,VENTURE,A,18674,22.34,0.1,Y,24,0
35,48336,MORTGAGE,33.1,DEBTCONSOLIDATION,D,32577,7.84,0.67,N,22,0
48,29796,RENT,16.1,DEBTCONSOLIDATION,C,24687,14.09,0.83,N,12,0
25,130179,MORTGAGE,34.0,HOMEIMPROVEMENT,D,14775,24.36,0.11,Y,17,1
38,98540,OWN,22.6,VENTURE,G,23027,22.88,0.23,Y,3,1
49,14268,RENT,37.2,EDUCATION,D,30418,5.01,2.13,N,8,0
28,180392,MORTGAGE,6.4,MEDICAL,A,24121,10.01,0.13,N,23,0
30,23575,OTHER,25.0,DEBTCONSOLIDATION,F,15844,13.58,0.67,Y,24,1
33,134992,RENT,5.3,EDUCATION,E,29667,5.19,0.22,N,28,1
47,191936,OWN,19.1,EDUCATION,D,6354,19.62,0.03,Y,5,1
39,45947,OTHER,30.9,EDUCATION,F,9862,6.37,0.21,Y,21,0
48,102061,OWN,25.1,EDUCATION,D,29492,22.2,0.29,Y,30,1
27,164553,OTHER,14.1,VENTURE,C,9663,9.96,0.06,Y,9,0
58,199052,MORTGAGE,31.2,DEBTCONSOLIDATION,A,20268,9.11,0.1,Y,25,0
61,24304,OWN,19.8,PERSONAL,B,33240,17.76,1.37,Y,18,0
20,104659,MORTGAGE,5.3,HOMEIMPROVEMENT,D,24447,15.93,0.23,Y,26,1
24,14375,RENT,0.6,EDUCATION,A,4462,23.97,0.31,N,18,1
65,141346,OTHER,16.9,VENTURE,A,10506,10.55,0.07,N,4,0
33,50731,MORTGAGE,15.6,DEBTCONSOLIDATION,G,4832,11.2,0.1,N,25,0
35,25179,OWN,3.4,VENTURE,A,30212,17.25,1.2,Y,11,0
62,56044,RENT,0.5,EDUCATION,F,1243,8.28,0.02,N,18,0
36,53768,MORTGAGE,5.1,MEDICAL,F,8236,20.43,0.15,Y,12,0
37,147325,RENT,10.5,HOMEIMPROVEMENT,F,5550,14.92,0.04,N,3,0
56,53746,MORTGAGE,6.3,PERSONAL,E,8058,9.57,0.15,Y,3,0
20,74107,RENT,18.9,VENTURE,B,12228,23.62,0.17,Y,19,0
65,181888,OTHER,9.0,EDUCATION,D,21467,10.43,0.12,Y,20,1
52,186508,RENT,7.2,HOMEIMPROVEMENT,A,26775,6.38,0.14,N,29,0
39,95799,RENT,22.1,PERSONAL,C,13651,10.83,0.14,N,25,0
49,106540,OTHER,39.9,EDUCATION,F,16564,8.01,0.16,N,2,0
42,176708,RENT,38.0,PERSONAL,G,25159,21.98,0.14,N,5,1
35,120052,OTHER,38.4,EDUCATION,F,18838,6.86,0.16,Y,30,0
46,193722,MORTGAGE,18.3,DEBTCONSOLIDATION,A,6763,15.11,0.03,N,4,0
23,124028,OWN,9.5,MEDICAL,G,21144,23.52,0.17,N,24,0
40,93376,OTHER,10.9,PERSONAL,B,9420,20.6,0.1,Y,6,1
48,132173,MORTGAGE,16.3,HOMEIMPROVEMENT,C,14107,14.04,0.11,N,10,0
25,51317,MORTGAGE,33.1,DEBTCONSOLIDATION,E,3143,9.3,0.06,N,6,1
35,103255,OTHER,20.5,DEBTCONSOLIDATION,C,17550,21.4,0.17,Y,2,0
48,155739,OWN,3.8,PERSONAL,G,9661,7.43,0.06,Y,28,0
34,44266,OWN,32.9,MEDICAL,F,6007,16.65,0.14,N,28,1
24,61839,OTHER,32.4,PERSONAL,G,22228,7.45,0.36,N,3,1
56,123549,OTHER,19.8,VENTURE,F,28461,8.46,0.23,Y,7,1
48,48962,RENT,24.6,HOMEIMPROVEMENT,B,19840,14.98,0.41,N,3,1
44,45975,OTHER,8.0,HOMEIMPROVEMENT,B,1779,24.79,0.04,N,17,0
51,100186,MORTGAGE,15.5,EDUCATION,A,21397,16.94,0.21,Y,30,0
37,25359,OTHER,21.2,HOMEIMPROVEMENT,B,10961,7.0,0.43,Y,10,0
23,67517,OTHER,14.2,EDUCATION,B,16002,16.85,0.24,N,20,1
64,102191,OWN,22.5,EDUCATION,G,32758,15.84,0.32,Y,17,1
23,70980,OWN,0.8,VENTURE,A,22240,23.36,0.31,Y,27,1
65,56520,MORTGAGE,2.4,EDUCATION,E,9783,20.49,0.17,N,4,0
